TITLE,CATEGORY,PUBLISHER,HOSTNAME
Climate inaction catastrophic - US,t,BBC News,www.bbc.co.uk
Congressional report urges stricter rules for e-cigarettes,m,TheDay.com,www.theday.com
General Motors' first quarter profit dragged down by recalls,b,KPVI News 6,www.kpvi.com
You can start buying Google Glass on April 15,t,Ecumenical News,www.ecumenicalnews.com
Target taps outsider as CEO for needed shakeup - 7News Boston WHDH-TV,b,WHDH-TV,www.whdh.com
'Game Of Thrones' Finale Is The Series' Most Pirated Episode Yet,e,Huffington Post,www.huffingtonpost.com
Supreme Court justices unsure on new TV service,e,Columbus Dispatch,www.dispatch.com
An anonymous millionaire is hiding cash around San Francisco,b,Metro,metro.co.uk
Business Wire,t,Virtual-Strategy Magazine \(press release\),www.virtual-strategy.com
Paul Walker dead: Fast & Furious star wins posthumous prize with Vin Diesel at  ...,e,The Independent,www.independent.co.uk
"VIDEO: Watch Brian Williams Rap ""Gin and Juice""",e,Smyrna-Clayton Sun Times,www.scsuntimes.com
Adobe Voice turns iPad into storytelling tool,t,SlashGear,www.slashgear.com
Tesla may face ban on dealerships in Missouri,b,Dallas Business Journal,www.bizjournals.com
Major refresh coming for OS X at WWDC next month,t,ITProPortal,www.itproportal.com
True Blood Season 7 Episode 3: Bill Takes a Shot at Sookie,e,Air Herald,airherald.com
'Chocolate' pills: Study to test if pills with dark chocolate can help heart health,m,WPTV,www.wptv.com
Sbarro Files For Chapter 11 Reorganization Again,b,The Epoch Times,www.theepochtimes.com
Tesla Motors Inc.'s Decision Could Lure a Partner and Solve a Looming Problem,t,Motley Fool,www.fool.com
Oracle buys cloud firm Micros Systems for US$5.3b,b,Channel News Asia,www.channelnewsasia.com
Vaccines Available in Missouri after Red Robin Hepatitis A Scare,m,Food Poison Journal,www.foodpoisonjournal.com
"Oh Baby! Drew Barrymore Gives Birth To Second Daughter, Frankie",e,Contactmusic.com,www.contactmusic.com
Chinese e-commerce giant Alibaba unrolls IPO in US,b,Community Idea Stations,video.ideastations.org
Microsoft's Black Thursday: XBox Live goes down as XBox Studio canned,t,Register,www.theregister.co.uk
Work-around: Enabling Download Booster on the Verizon and AT&T Samsung  ...,t,Tech Times,www.techtimes.com
Hollywood warms up to UK with Star Wars spinoff,e,Hindustan Times,www.hindustantimes.com
Kim Kardashian Tries To Channel Audrey Hepburn In Sabrina But Falls  ...,e,PerezHilton.com,perezhilton.com
Anne Hathaway 'Just One of the Guys' in Jenny Lewis' New Single,e,ABC News,abcnews.go.com
"Google Glass teams up with Ray-Ban, Oakley and Vogue eyewear to produce  ...",t,NEWS.com.au,www.news.com.au
"One in three Alzheimer's cases preventable, says research",m,Pakistan Today,www.pakistantoday.com.pk
Prayer vigil held for Charlotte woman fighting Ebola,m,WSOC Charlotte,www.wsoctv.com
In the news:,e,MSN Money,money.msn.com
Samsung overtakes Apple to become the world's largest LTE smartphones  ...,t,TechnologyTell,www.technologytell.com
The Climate Change Fundamentalists,t,FrontPage Magazine,www.frontpagemag.com
Local teen getting attention over being a 'Frozen' lookalike,e,WKMG Orlando,www.clickorlando.com
Apple updates MacBook Air with fourth-generation Intel 'Haswell' processors,t,Siliconrepublic.com,www.siliconrepublic.com
The Bachelorette Season 10 Finale Recap: Andi Gets Slut-Shamed,e,Cosmopolitan,www.cosmopolitan.com
"Pamela Anderson launches new animal rights charity at Cannes May 19, 4:12 pm",e,ANINEWS,www.aninews.in
"Joel Burns wins again on Twitter, puts 'Fort Worth' on US Airways' map",b,Fort Worth Star Telegram,www.star-telegram.com
"Game of Thrones, The Lion and the Rose, review: 'King Joffrey takes centre stage'",e,Telegraph.co.uk,www.telegraph.co.uk
Watch! Seth Rogen talks Kanye West on Ellen,e,RTE.ie,www.rte.ie
First lady fights for healthy school lunches,m,Las Vegas Review-Journal,www.reviewjournal.com
Airbag inflator problems prompt recalls,t,ABC 57 News,www.abc57.com
Schumer Calls for Black Boxes in Trucks in Wake of Crash that Injured Tracy  ...,e,NBC New York,www.nbcnewyork.com
S&P 500 breaks 1900 for first time,b,Goshen News,www.goshennews.com
Chelsea Handler Plans to End Her E! Talk Show,e,Splitsider,splitsider.com
Posted by Muhammad Iqbal,b,Business Recorder,www.brecorder.com
Will Facebook save democracy? 'I'm a Voter' feature launches worldwide before  ...,t,The Independent,www.independent.co.uk
Window for differential bank licence soon: Rajan,b,Hindu Business Line,www.thehindubusinessline.com
10 Things to Know for Friday,e,Watertown Daily Times,www.wdtimes.com
FSA: Stop Washing Your Chicken!,m,Food Poisoning Bulletin,foodpoisoningbulletin.com
George RR Martin Unveils 'Winds of Winter' Excerpt,e,Wall Street Journal \(blog\),blogs.wsj.com
OFFBEAT: Cartoon voice legend Casey Kasem had NWI friend,e,nwitimes.com,www.nwitimes.com
American Apparel CEO Dov Charney Fired Over 'Misconduct',b,Racked National,racked.com
Maligned California glove law officially repealed,m,SFGate \(blog\),insidescoopsf.sfgate.com
"Study: Google Glass Helpful in Health Care, but Drawbacks Remain",t,iHealthBeat,www.ihealthbeat.org
"Survey: US gas prices jump 3 cents a gallon in last 2 weeks, but are expected to  ...",b,GlobalPost,www.globalpost.com
It's Tax Day! Don't Forget to File,b,AARP News \(blog\),blog.aarp.org
EPA scores big win to limit mercury,b,Politico,www.politico.com
Ebola Epidemic Strikes West Africa,m,News Tonight Africa,newstonight.co.za
"Full lunar eclipse delights Americas, 1st of year",t,Your Houston News,www.yourhoustonnews.com
Activision spending $500 million on 'Destiny',t,USA TODAY,www.usatoday.com
Microsoft scans blogger's Hotmail account to track down Windows 8 leaker,t,The Verge,www.theverge.com
European stocks decline in risk-off trade; Dax down 0.77%,b,Jerusalem Post,www.jpost.com
Poll: Stricter truck driver regulations proposed by US Sen. Chuck Schumer,e,SILive.com,www.silive.com
"Amazon plays dirty, E.U. plays ostrich in the bozo parade",b,InfoWorld,www.infoworld.com
"Shares of Dish Network, DirecTV rise on report of merger talk | The Republic",b,The Tribune,www.tribtown.com
Sarah Michelle Gellar slams Kim Kardashian's Vogue cover on Twitter,e,Examiner.com,www.examiner.com
Review: 'Cesar Chavez' is quietly effective,e,OCRegister,www.ocregister.com
Inside scoop on 'Captain America: The Winter Soldier' private screening: Kristel's  ...,e,The Plain Dealer,www.cleveland.com
Bryan Singer Steps Back From X-Men: Days of Future Past Promotion Due to  ...,e,411mania.com,www.411mania.com
Officials rush to contain Ebola virus in Guinea,m,WNYT,wnyt.com
"No West Nile infections, don't neglect precautions (Ellysa Gonzalez Blog)",m,LubbockOnline.com \(blog\),lubbockonline.com
Shire shares leap after £27bn takeover rejection,b,Investment Week,www.investmentweek.co.uk
Chicken Nuggets Recalled: What You Need to Know,b,The Stir,thestir.cafemom.com
Andi Dorfman Acts Like a Total Hypocrite After 'Bachelorette' Backlash (PHOTO),e,The Stir,thestir.cafemom.com
Smartphone Kill-Switch Coming to Devices in July 2015,t,Tom's Hardware Guide,www.tomshardware.com
Maya Angelou's cultural impact not forgotten,e,The National,www.thenational.ae
Peter Mayhew to reprise his role as Chewbacca,e,RTE.ie,www.rte.ie
Crumbs Bake Shop nears lifeline,b,CNBC.com,www.cnbc.com
Women help drive Mustang's success,t,Autonet.ca,www.autonet.ca
Vote now! Summerville student in the running for the Doodle 4 Go - WCBD-TV  ...,t,WCBD,www.counton2.com
Starbucks to let customers tip baristas from their phones,b,Los Angeles Daily News,www.dailynews.com
Many People Would Rather Do The Wrong Thing Than Nothing,m,Science 2.0,www.science20.com
Honda Cars & Recall 2014: Airbag Issues Affect More Than 2 Million Vehicles,t,Latin Post,www.latinpost.com
How to live stream Coachella 2014,e,MTV News Australia,www.mtv.com.au
East End prepares for possible LIRR strike,b,Suffolk Times,suffolktimes.timesreview.com
Holden Lewis: 7 good reasons for a mortgage refinance,b,The San Luis Obispo Tribune,www.sanluisobispo.com
Whole Foods Market Rating Lowered to Underperform at Wolfe Research (WFM),b,WKRB News,www.wkrb13.com
Men feel more pain after a major operation,m,Free Press Journal,freepressjournal.in
Pharrell Williams cries 'Happy' tears,e,kwgn.com,kwgn.com
LG G3 vs Samsung Galaxy Note 3: Specs Compared,t,AndroidOrigin,www.androidorigin.com
Can Zac Efron And Rose Byrne Recreate Seth Rogen's Iconic Laugh?,e,VH1,www.vh1.com
Breast cancer drug rejected by NHS over high cost,m,The Voice Online,www.voice-online.co.uk
Facebook gets a stern privacy warning from the FTC over WhatsApp,t,Daily Caller,dailycaller.com
Belgian and French pizza eaters: Many of your Domino's records were sliced,t,Nextgov,www.nextgov.com
Euro-Area Economic Confidence Increases More Than Expected,b,Bloomberg,www.bloomberg.com
Corey Stoll signs up for Edgar Wright's Ant-Man movie,e,Den of Geek \(US\),www.denofgeek.us
Westbound lanes of 10 Freeway closed near downtown Los Angeles due to crash,b,Los Angeles Daily News,www.dailynews.com
Amber Rose Billboard Awards Style: Statement Shades a Red Carpet Hit  ...,e,Christian Post,global.christianpost.com
"Apple's next media box gets Comcast's blessing, priority service",t,Geek,www.geek.com
"Crude oil futures near 3-week highs, US data still supports",b,Investing.com,www.investing.com
"Apple, IBM to cooperate in corporate mobile services",t,Deutsche Welle,www.dw.de
Mama Bear Pulls Cub To Safety Off BC Highway,e,Huffington Post Canada,www.huffingtonpost.ca
Options for big cuts in emissions by 2050,t,ABC Online,www.abc.net.au
'Fargo:' Read what others are writing about the new FX drama,e,The Times-Picayune,www.nola.com
Red Hat Inc. (RHT) Is Climbing On Better Than Expected Q1 Earnings,t,RTT News,www.rttnews.com
Lupita and Pharrell Invited to Join Motion Picture Academy,e,Jezebel,jezebel.com
Justin Bieber Detained at LAX: Will He Be Allowed Into the United States?,e,Cambio,www.cambio.com
Amazon's First Fire Phone Ad Puts Content Ahead of Features,t,Wireless Week,www.wirelessweek.com
Rate snapshot: Fed may increase rates sooner than thought,b,MPA News,www.mpamag.com
Mike 'The Situation' Sorrentino Arrested for Fighting in a Tanning Salon,e,TheWrap,www.thewrap.com
"The new 'Star Wars' movies will ignore the Expanded Universe, kind of",e,Entertainment Weekly,insidemovies.ew.com
Find your first tweet on this website,t,CBS News,www.cbsnews.com
Ariana Grande Rocks July 4th Concert — Watch Her 'Problem' Performance,e,Hollywood Life,hollywoodlife.com
"Eli Lilly, Takeda's co-defendant, was ordered to pay $3 billion in punitive damages.",b,CNBC.com,www.cnbc.com
Ebola virus: What is it and how does it spread?,m,Scottish Daily Record,www.dailyrecord.co.uk
Senators Lambaste Dr. Oz For Sketchy Weight Loss Claims,m,WBUR,commonhealth.wbur.org
Ariana Grande's “Break Free”: Listen,e,Idolator\: All About The Music,www.idolator.com
Ag markets moved mostly lower Wednesday,b,CattleNetwork.com,www.cattlenetwork.com
"Nintendo Reports Yet Another Quarterly Loss, Sells 510000 Wii U Consoles",t,DailyTech,www.dailytech.com
"Wall Street wavers on mixed data; Urban Outfitters falls, JC Penney rises",b,Proactive Investors USA \& Canada,www.proactiveinvestors.com
Neil Patrick Harris Hangs His Hat On His Penis For Rolling Stone! See The Erect  ...,e,PerezHilton.com,perezhilton.com
Dams Imperil Pakistan's Endangered River Dolphins,t,Discovery News,news.discovery.com
Taking proper measures to control mosquitoes infected with West Nile Virus,m,FOX43.com,fox43.com
"Miley Cyrus hospitalized, cancels US concert",e,The Daily Star,www.dailystar.com.lb
Paul Walker's death: Actual reason behind accident revealed (see pics),e,indiatvnews.com,www.indiatvnews.com
Cannes Film Review: 'Jimmy's Hall',e,Yahoo Movies UK,uk.movies.yahoo.com
The MERS Outbreak: Is The Government Doing Enough?,m,CBS Local,charlotte.cbslocal.com
Target asks customers to keep guns out,b,The Hill \(blog\),thehill.com
Docs Still Prescribing Codeine to Kids,m,WJTV,www.wjtv.com
VIDEO: Has The NSA Been Exploiting Heartbleed?,t,Telemanagement,www.tele-management.ca
Supreme Court rejects Sahara group chief Subrata Roy's house arrest plea,b,Financial Express,www.financialexpress.com
How Much Would You Pay For The Last Cupcake From Crumbs Bakery?,b,Social News Daily,socialnewsdaily.com
NWA movie casts lead roles,e,FanSided,fansided.com
The Voice Season 6 Episode 5 Blind Auditions,e,The Hollywood Gossip,www.thehollywoodgossip.com
Watch: Morrissey Play Three New Songs,e,Under the Radar Mag,www.undertheradarmag.com
S&P Dow Jones Indices launches review into Russian securities,b,Funds Europe Magazine,www.funds-europe.com
Three US States To Probe eBay Cyberattack In Response To Citizen Complaints,t,PYMNTS.com,www.pymnts.com
$8M Unmanned Research Submarine Goes 'Missing' in New Zealand Coast,t,International Business Times AU,au.ibtimes.com
Barclays cuts 7000 jobs in investment banking retreat,b,Irish Times,www.irishtimes.com
14 new frog species found in troubled Indian habitat,t,Gainesville Sun,www.gainesville.com
"Ice Bucket Challenge annoys, works",e,Sacramento News \& Review,www.newsreview.com
Chinese students vulnerable to cigarettes: report,m,Shanghai Daily \(subscription\),www.shanghaidaily.com
Ebola-linked deaths in West Africa rise to more than 100,m,Boston.com,www.boston.com
Georgia Firm Recalls Chicken Breast Tenders Products Due To Misbranding  ...,m,USDA.gov \(press release\),www.fsis.usda.gov
"Galaxy Tab S Unveiled by Samsung, AT&T to offer Tab S on 4G LTE",t,The Utah People's Post,www.utahpeoplespost.com
Aereo – Legal Piracy?,e,seattlepi.com \(blog\),blog.seattlepi.com
Big Bang gets big deal,e,Akron Beacon Journal \(blog\),www.ohio.com
Will North Korea consider this blog an “act of war”?,e,The Express Tribune \(blog\),blogs.tribune.com.pk
Major Hospital doctor speaks out about ALS,e,Shelbynews,www.shelbynews.com
"Apple drops iPod touch price, increases features in 16GB model",t,Macworld UK,www.macworld.co.uk
WHO vigilant on new Middle East coronavirus developments,m,Zawya \(registration\),www.zawya.com
No satellite required: DirecTV posts ad on its Web site offering Sunday Ticket  ...,t,Washington Post \(blog\),www.washingtonpost.com
Constitution error on Rolling Stone cover,e,PlanetRadiocity,www.planetradiocity.com
Actor told 911 he shot wife in Los Angeles,e,LubbockOnline.com,lubbockonline.com
Burger King plans expansion of Tim Hortons in US,b,Meriden Record-Journal,www.myrecordjournal.com
"McDonald's addresses pressures over wages, marketing",b,Nation's Restaurant News,nrn.com
UK Industrial Output Falls Unexpectedly,b,RTT News,www.rttnews.com
WhatsApp boss on Facebook privacy fears: 'Our principles will not change',t,Here Is The City,hereisthecity.com
IRS warns of largest scam ever,b,WKRC TV Cincinnati,www.local12.com
AT&T HD Voice reaching US on May 23,t,TechnologyTell,www.technologytell.com
Evleaks reveals alleged Samsung Galaxy Tab 4 7.0 press renders,t,Firstpost,tech.firstpost.com
'Batman: Arkham Knight' Slips to 2015,e,High-Def Digest,www.highdefdigest.com
IRS awards bonuses to 1150 who owe back taxes,b,STLtoday.com,www.stltoday.com
Georgia Man Creates Viral Video Sensation Lip-Synching 'All By Myself' At  ...,e,CBS Local,newyork.cbslocal.com
Malaysia Airlines MH370: China in new 'debris' clue,b,BBC News,www.bbc.co.uk
Third Time's The Charm: Asheville Rocker Becomes American Idol,e,WUNC,wunc.org
"Turkey bans Twitter, Turks keep tweeting",b,Boston.com,www.boston.com
"“Guardians of the Galaxy”: Marvel's goofy, exhausting and faintly fascist new  ...",e,Salon,www.salon.com
"After long wait, Malaysia releases missing airliner's data",b,Bellingham Herald,www.bellinghamherald.com
Johnny Depp served with legal papers at film premiere - report,e,Hollywood.com,www.hollywood.com
They want us to fly like this?,b,NEWS.com.au,www.news.com.au
Ohio mother gives birth to rare 'mono mono' twins,m,Fox News,www.foxnews.com
Heidi Hartmann: Yellen's Fed Will Be Different,b,Moneynews,www.moneynews.com
"NTSB faults Asiana pilots for 777 crash, says complex automated controls a factor",b,The Seattle Times,seattletimes.com
"Yellen: Interest Rates Low, Economy Weak [AUDIO]",b,New Jersey 101.5 FM Radio,nj1015.com
Marvel's Agents of SHIELD Season Finale Artwork Revealed,e,LaughingPlace.com,www.laughingplace.com
Emma Watson struggled with weighted baby bump prosthetic in Noah,e,10News,www.10news.com
This Accidental Game Of Thrones Spoiler Just. Changed. Everything.,e,io9,io9.com
"Big, Beautiful Photos Of HTC's Stunning New Android Phone",t,SFGate,www.sfgate.com
Oscar Pistorius was 'not mentally ill',m,Scotsman,www.scotsman.com
Snapchat settlement with FTC reveals even more security offenses,t,Android Community,androidcommunity.com
"Ex-Microsoft employee arrested for leaking Windows 8, passing trade secrets",t,Digital Trends,www.digitaltrends.com
Apple Seeks Ban on Samsung Smartphones – Asks for Another $119.6 Million in  ...,t,Highlight Press,www.highlightpress.com
Madonna Posted Her Butt On Instagram And Then Took It Down: See The Racy Pic,e,Idolator\: All About The Music,www.idolator.com
"John Pinette dead: US comedian found dead in Pittsburgh hotel room, aged 50",e,Irish Independent,www.independent.ie
Gas Prices Expected to Drop before Summer Travel Season,b,Tristatehomepage.com,www.tristatehomepage.com
Jobs and the Economy: What Today's Numbers Mean,b,TheStreet.com,www.thestreet.com
Eminem Reunites With Estranged Mother Debbie Mathers for Headlights Music  ...,e,Us Magazine,www.usmagazine.com
"The Download: Marvel/WB Brinksmanship, Ultimate Warrior & Mickey Rooney  ...",e,Movies With Butter \(blog\),www.movieswithbutter.com
Main Trend is Higher for Stock Index Futures,b,Inside Futures,www.insidefutures.com
Caterpillar CEO Oberhelman's pay fell 33 pct in 2013 -SEC filing,b,Reuters,in.reuters.com
HSBC final China manufacturing PMI up to 49.4; highest in four months,b,Gant Daily,www.gantdaily.com
Internet Explorer Vulnerability Poses Threat Of Remote Code Execution,t,iProgrammer,www.i-programmer.info
"Ladies' Home Journal goes newsstand-only - Live5News.com | Charleston, SC  ...",b,Live 5 News,www.live5news.com
"Kelly to begin chemo, radiation next week",m,BuffaloBills.com,www.buffalobills.com
"High Pollen Count Could Make This Spring Harsh for Those With Allergies, Past  ...",m,Latin Post,www.latinpost.com
"US Supreme Court rules against Aereo, eviscerates the company's business  ...",t,ExtremeTech,www.extremetech.com
Anti-theft technology for all smartphone,t,The Football Examiner,thefootballexaminer.com
Tori Spelling hit by claims she 'takes Vicodin and Oxycodone' amid marriage  ...,e,Daily Mail,www.dailymail.co.uk
Beyonce leads the MTV VMA nominations this year,e,Belfast Telegraph,www.belfasttelegraph.co.uk
24: Live Another Day,e,Timesonline.com,www.timesonline.com
Valeant's (VRX) Revised Offer for Allergan (AGN) is Credit-Positive Development  ...,b,StreetInsider.com \(subscription\),www.streetinsider.com
Elisabeth Hasselbeck angry about Rosie O'Donnell's return,e,SheKnows.com,www.sheknows.com
Paul Walker's brothers will help finish Fast & Furious 7,e,The Vine,www.thevine.com.au
Zac Efron Fight -- Attacked In Skid Row Area of LA,e,TMZ.com,www.tmz.com
Patrick Swayze`s widow marries jeweller boyfriend,e,Zee News,zeenews.india.com
Get On Up (2014),e,Entertainment Weekly,www.ew.com
Did Beyonce Attack 50 Cent?,e,VH1,www.vh1.com
United States plunges to 31st place in global maternal health ranking,m,Salon,www.salon.com
LG G3 leaks leave nothing to the imagination,t,Engadget,www.engadget.com
Japan relaxes arms export regime to fortify defense,b,defenceWeb,www.defenceweb.co.za
More User Opinions on Facebook 'Experiment',t,Wall Street Journal \(blog\),blogs.wsj.com
"Local school updates technology, includes Google Glass in lessons",t,Northwest Missourian,www.nwmissourinews.com
Siri vs Cortana: Apple trolled in new Microsoft advert (video),t,ITProPortal,www.itproportal.com
"Stocks close higher, extending gains into third day",b,Los Angeles Times,www.latimes.com
Lisa Edelstein From 'House' Is Married,e,The Inquisitr,www.inquisitr.com
Kate Middleton: Pregnant at 98 Pounds!?!,e,The Hollywood Gossip,www.thehollywoodgossip.com
Box Office: Not a Good Friday for Johnny Depp's 'Transcendence',e,Hollywood Reporter,www.hollywoodreporter.com
"Medtronic to buy Covidien for $42.9 bln, move headquarters to Ireland",b,Proactive Investors USA \& Canada,www.proactiveinvestors.com
Dr. Dre Appears to Confirm Apple's Acquisition of Beats [Video],t,iClarified,www.iclarified.com
Review: Montana oil and gas wells weren't inspected on high-risk lands,b,The Missoulian,missoulian.com
Ten ways you personally will notice the effects of climate change,t,Sydney Morning Herald,www.smh.com.au
Nokia-Microsoft phone deal complete new,t,Belfast Telegraph,www.belfasttelegraph.co.uk
“X-Men: Days Of Future Past” – Opening Battle Clip,e,BallerStatus.com,www.ballerstatus.com
'Malaysia Airlines flight MH370 may have turned south earlier than believed',t,Zee News,zeenews.india.com
"Jay Z, LA Mayor Eric Garcetti to Announce Music Festival",e,Variety,variety.com
New Batman Vs Superman Finally Revealed New Official Title And Logo,e,Hollywood Hills,hwhills.com
Bionic pancreas device controls blood sugar in patients with type 1 diabetes,m,News-Medical.net,www.news-medical.net
Security guard trampled at Music Festival,e,WJXT Jacksonville,www.news4jax.com
"Maya Angelou, poet and author, dead at 86",e,WABC-TV,7online.com
Xbox chief: 'you have to win with the gamers first',t,The Verge,www.theverge.com
Google+ Stories Can Automatically Create Impressive Albums from Your Uploads,t,PetaPixel,petapixel.com
Jeep® Brand Sets Third Consecutive Monthly Global and U.S. Sales Records,b,DigitalJournal.com,www.digitaljournal.com
"Proposed federal EPA rule would protect streams, wetlands",b,Pittsburgh Post Gazette,www.post-gazette.com
Robert Downey Jr. -- Son Arrested for Coke Possession,e,TMZ.com,www.tmz.com
Hotel investigates video leak of apparent Jay Z family feud,e,Chicago Tribune,www.chicagotribune.com
"Kendall Jenner confuses 1D, 5SOS in cringe moment from Billboard Awards",e,Digital Spy UK,www.digitalspy.co.uk
Prolific character actor James Rebhorn dies at 65,e,News Sentinel,www.news-sentinel.com
Russell Crowe 'surprised' by extent of Noah controversy,e,Virgin Movies,www.virginmedia.com
Spidey swings downtown: Halifax Town Clock shows up on special Spider-Man  ...,e,MetroNews Canada,metronews.ca
Russia criticizes EU sanctions,b,Journal of Turkish Weekly,www.turkishweekly.net
Unemployment In April Dips To 5.5 Percent In The Rochester Area,b,WXXI News,wxxinews.org
Hawkish Fed surprises market and leads US dollar higher,b,FXstreet.com,www.fxstreet.com
Writer Announces Big Fat Greek Wedding Sequel,e,Key 103 Manchester,www.key103.co.uk
50-Ft Deep FL Sinkhole Threatens Homes,b,CW39 NewsFix,newsfixnow.com
Stocks face headwinds this week amid Crimea referendum,b,CP24 Toronto's Breaking News,www.cp24.com
Khloe Kardashian's 30th Birthday Is Pretty Freaking Awesome,e,Monsters and Critics.com,www.monstersandcritics.com
California Declares Whooping Cough Epidemic,m,Breitbart News Network,www.breitbart.com
"Gold up at 6-month high as Ukraine, China prompt safe-haven bids",b,gulfnews.com,gulfnews.com
Film Clip: 'A Million Ways to Die in the West',e,Wall Street Journal,live.wsj.com
Texas judge rules GM doesn't need to issue 'park-it' order on recalled cars,b,Dallas Morning News,www.dallasnews.com
Nokia Oyj Will Soon Be Known As Microsoft Mobile Oy [Report],t,Opptrends,www.opptrends.com
Sun Pharma and Ranbaxy in $4bn Acquisition Deal Creating India's Largest  ...,b,International Business Times UK,www.ibtimes.co.uk
Report warns world is 'getting warmer',t,MSN NZ News,news.msn.co.nz
Dancing With The Stars season 18 winners: Meryl and Maksim take home the  ...,e,Examiner.com,www.examiner.com
Bulgaria PM says no grounds for concern over banking system,b,swissinfo.ch,www.swissinfo.ch
"Let me tell you about my hero, the man who beat ALS",e,Canada Free Press,canadafreepress.com
Nintendo's Original Game Boy Turns 25,t,The Next Web,thenextweb.com
Remember 'why' of Easter: The resurrection of Jesus,e,The Daily Progress,www.dailyprogress.com
"Michael Stipe, Chris Martin, Bruce Springsteen To Induct Rock Hall Class Of 2014",e,Stereogum,www.stereogum.com
Blast record shows asteroid risk to Earth,t,Herald Scotland,www.heraldscotland.com
Mick Jagger Posts Statement on L'Wren Scott,e,Women's Wear Daily,www.wwd.com
UPDATE 1-First Horizon to pay $110 mln to settle US agency's mortgage claims,b,Reuters,in.reuters.com
Madonna - Madonna to direct new movie,e,Contactmusic.com,www.contactmusic.com
Tesla signs deal with Panasonic for Gigafactory,t,Auto123,www.auto123.com
"College offering Miley Cyrus class, here's why…",e,KCCI Des Moines,www.kcci.com
"As WinXP death looms, Microsoft releases its operating system SOURCE CODE  ...",t,Register,www.theregister.co.uk
Russia sets gas price for China $350 per 1000 cubic meters,b,The Voice of Russia,voiceofrussia.com
Dow plunges as multiple worries vex investors - KTVN Channel 2 - Reno Tahoe  ...,b,KTVN,www.ktvn.com
"TV ratings: 'The Voice' stays on top Monday, 'Dancing With the Stars' rises",e,Zap2it.com \(blog\),zap2it.com
Fed sharply cuts forecast fur US economic growth,b,Anderson Independent Mail,www.independentmail.com
"‎Rolf Harris Stripped of Industry Honors in UK, Australia",e,Hollywood Reporter,www.hollywoodreporter.com
Supreme Court limits EPA power to regulate greenhouse gas pollution,b,SunHerald.com,www.sunherald.com
The Ford Mustang 50th Anniversary Is Exactly Not Like The Original,t,Jalopnik,jalopnik.com
Baby Gorillas Now Doing Cute Things at the Bronx Zoo,t,New York Magazine,nymag.com
Film Clip: 'Divergent',e,Wall Street Journal,live.wsj.com
Justin Bieber's Girlfriend Selena Gomez - Rehab Wish?,e,National Ledger,www.nationalledger.com
Ohio gas prices up to start work week,t,Huntington Herald Dispatch,www.herald-dispatch.com
How Student Financial Accounts Change After Graduation,b,U.S. News \& World Report \(blog\),money.usnews.com
Miley Cyrus Cancels Remainder Of US Tour Dates,e,MTV UK,www.mtv.co.uk
Kim Kardashian and Kanye West honeymoon in Ireland,e,TVNZ,tvnz.co.nz
Anthony Mackie talks about his role as Falcon in 'Captain America: The Winter  ...,e,New York Daily News,www.nydailynews.com
Garth Brooks: Answers demanded over Brooks fiasco,e,Belfast Newsletter,www.newsletter.co.uk
New Transformers 4: Age of Extinction Photos: Up Close With The Autobots,e,TFLcar.com,www.tflcar.com
Japan Institute Finds Misconduct in Stem-Cell Studies -- Update,m,Wall Street Journal,online.wsj.com
"Iggy Azalea Tops Hot 100 With 'Fancy,' Matches Beatles' Historic Mark",e,Billboard,www.billboard.com
'True Blood' season 7 sneak peek: Who will be left standing?,e,Examiner.com,www.examiner.com
Eurozone inflation stuck at low 0.5 percent,b,News Sentinel,www.news-sentinel.com
Prominent Litigators Lining Up on Either Side of Aereo Battle,e,The National Law Journal \(registration\),www.nationallawjournal.com
WFP contributes to Ebola fight in Sierra Leone,m,Shanghai Daily \(subscription\),www.shanghaidaily.com
Neanderthals reveal their diet with oldest excrement,t,Science News \(blog\),www.sciencenews.org
Valeant Pharmaceuticals International's (VRX) CEO Michael Pearson on Q1  ...,b,Seeking Alpha,seekingalpha.com
Risks from type 2 diabetes treatments can 'outweigh benefits',m,Nursing Times,www.nursingtimes.net
Ford to recall 434000 vehicles,t,The Star Online,www.thestar.com.my
Malaysia Airlines could change its name,b,News24,www.news24.com
Inflation Expectations Send Euro to US Dollar (EUR/USD) Exchange Rate to  ...,b,Exchange Rate News,exchangeratenews.com
'Life Itself' celebrates Roger Ebert,e,Boston Globe,www.bostonglobe.com
McLaren considering hot P1 Track,b,INAUTONEWS,www.inautonews.com
CBS should've hired the other 'Stephen Colbert' to replace Letterman,e,Los Angeles Times,www.latimes.com
Christine Lagarde: EM To Slow As China Is Doing,b,ValueWalk,www.valuewalk.com
EasyJet trims first-half loss to Â£41 mn,b,Yahoo News,news.yahoo.com
Big blow to Bigfoot believers,t,CANOE,cnews.canoe.ca
Lilly's CYRAMZA(TM) (ramucirumab) Becomes First FDA-Approved Treatment  ...,m,Stockhouse,www.stockhouse.com
"Plumes of Praise, Puffs of Pain",m,CSPnet.com,www.cspnet.com
"BLOG: Count Your Blessings, Rain Among Them",b,Big Island Now,bigislandnow.com
"Astronomers Inform Committee on Science, Space and Tech that We'll  ...",t,Science World Report,www.scienceworldreport.com
Going viral for a good cause,e,NL News Now,www.nlnewsnow.com
The autism mystery,m,The Register-Guard,www.registerguard.com
Calhoun County had slight job growth in March,b,Anniston Star,annistonstar.com
Biotech funds: Only for those immune to fear,m,Marshfield News-Herald,www.marshfieldnewsherald.com
